Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09,BCHUSD,1034.8,1049.33,920,992.53,1801.49,1747959.3
2018-03-08,BCHUSD,1093.38,1111.06,992.05,1034.8,2035.44,2122644.66
2018-03-07,BCHUSD,1202,1217.41,1030,1093.38,4299.39,4901570.2
2018-03-06,BCHUSD,1260,1267.69,1172.35,1202,2027.19,2469850.25
2018-03-05,BCHUSD,1291.25,1291.91,1260,1260,583.89,747508.95
2018-03-04,BCHUSD,1261.39,1291.25,1216.57,1291.25,598.7,748241.54
2018-03-03,BCHUSD,1273.79,1299,1246.28,1261.39,918.37,1174831.91
2018-03-02,BCHUSD,1283,1303,1251.72,1273.79,1923.4,2461716.54
2018-03-01,BCHUSD,1197.94,1309,1185.49,1283,2495.94,3188662.62
2018-02-28,BCHUSD,1232.53,1276.81,1196.68,1197.94,1037.58,1277923.84
2018-02-27,BCHUSD,1242.88,1295.75,1216.69,1232.53,1526.27,1918868.59
2018-02-26,BCHUSD,1168.96,1271.58,1137.96,1242.88,1836.06,2206161.12
2018-02-25,BCHUSD,1179.71,1200,1132,1168.96,1533.62,1783767.74
2018-02-24,BCHUSD,1259.95,1299,1130,1179.71,2003.15,2357332.21
2018-02-23,BCHUSD,1211.99,1309,1146.1,1259.95,4312.55,5315948.96
2018-02-22,BCHUSD,1286.75,1340,1171,1211.99,3847.41,4692764.51
2018-02-21,BCHUSD,1380.5,1404.88,1252.73,1286.75,6614.52,8743293.65
2018-02-20,BCHUSD,1512.52,1550,1374.99,1380.5,5115.47,7653097.92
2018-02-19,BCHUSD,1445.9,1547,1445.9,1512.52,1348.5,2035050.34
2018-02-18,BCHUSD,1538.76,1630,1390,1445.9,2855.21,4301167.1
2018-02-17,BCHUSD,1530,1550.46,1495.9,1538.76,1892.25,2896136.56
2018-02-16,BCHUSD,1357,1548,1350,1530,3899.88,5771874.23
2018-02-15,BCHUSD,1353.41,1392,1305,1357,2278.31,3074343.41
2018-02-14,BCHUSD,1218.47,1379.9,1218.47,1353.41,3091.02,4026606.06
2018-02-13,BCHUSD,1277.77,1287.64,1192.33,1218.47,1336.49,1634169.6
2018-02-12,BCHUSD,1203.01,1295,1203.01,1277.77,1109.68,1401286.92
2018-02-11,BCHUSD,1237.06,1300.86,1182.27,1203.01,1722.69,2114097.05
2018-02-10,BCHUSD,1297.5,1384.77,1190.03,1237.06,2664.39,3419066.37
2018-02-09,BCHUSD,1286.85,1346,1191.59,1297.5,3970.86,5053980.33
2018-02-08,BCHUSD,947.78,1360,940.02,1286.85,10410.5,12708909.03
2018-02-07,BCHUSD,964.19,1050,894.67,947.78,4711.09,4545989.05
2018-02-06,BCHUSD,890.78,976.55,758.57,964.19,10554.02,9273108.55
2018-02-05,BCHUSD,1154.95,1162.72,831.39,890.78,5184.69,4886236.86
2018-02-04,BCHUSD,1275.44,1290,1095,1154.95,1763.21,2093820.25
2018-02-03,BCHUSD,1191.05,1320.01,1063.02,1275.44,3969.05,4609073.08
2018-02-02,BCHUSD,1272.34,1273.23,992.2,1191.05,5953.65,6900374.1
2018-02-01,BCHUSD,1493.86,1506.27,1218.8,1272.34,3915.83,5228720.6
2018-01-31,BCHUSD,1469.04,1523.9,1401,1493.86,2360.63,3472168.7
2018-01-30,BCHUSD,1660,1660,1458,1469.04,2265.36,3513552.84
2018-01-29,BCHUSD,1768.99,1790,1632.17,1660,1534.88,2602416.93
2018-01-28,BCHUSD,1626.16,1790,1626.16,1768.99,2662.11,4608946.44
2018-01-27,BCHUSD,1590,1669.99,1559.27,1626.16,1389.47,2260383.0
2018-01-26,BCHUSD,1630.08,1678.1,1480.85,1590,2193.02,3439337.74
2018-01-25,BCHUSD,1650.79,1700,1600,1630.08,3531.26,5837493.56
2018-01-24,BCHUSD,1613.47,1679.2,1550,1650.79,3794.0,6168188.13
2018-01-23,BCHUSD,1595.55,1690.94,1480,1613.47,2924.05,4610507.76
2018-01-22,BCHUSD,1761.54,1807.86,1500,1595.55,5939.77,9479142.71
2018-01-21,BCHUSD,2016.9,2025.09,1692,1761.54,4869.63,8992907.62
