Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09 02-AM,XRPUSD,0.7881,0.7928,0.7704,0.7817,1607744.26,1249109.47
2018-03-09 01-AM,XRPUSD,0.8146,0.8146,0.775,0.7881,2250573.6,1771210.57
2018-03-09 12-AM,XRPUSD,0.8047,0.8156,0.8044,0.8146,287665.88,233603.37
2018-03-08 11-PM,XRPUSD,0.8056,0.815,0.8033,0.8047,387663.7,313144.64
2018-03-08 10-PM,XRPUSD,0.8115,0.8209,0.7967,0.8056,1186926.09,960113.3
2018-03-08 09-PM,XRPUSD,0.8204,0.8325,0.8115,0.8115,905943.5,745785.54
2018-03-08 08-PM,XRPUSD,0.8218,0.8259,0.815,0.8204,677969.46,557396.76
2018-03-08 07-PM,XRPUSD,0.8151,0.822,0.81,0.8218,700726.84,573270.72
2018-03-08 06-PM,XRPUSD,0.8096,0.824,0.8025,0.8151,798581.62,649109.35
2018-03-08 05-PM,XRPUSD,0.8259,0.8259,0.795,0.8096,3900057.88,3151423.6
2018-03-08 04-PM,XRPUSD,0.8465,0.849,0.8144,0.8259,1726512.15,1428639.97
2018-03-08 03-PM,XRPUSD,0.842,0.8519,0.841,0.8465,414965.64,351680.63
2018-03-08 02-PM,XRPUSD,0.8462,0.8519,0.8397,0.842,349289.06,294910.35
2018-03-08 01-PM,XRPUSD,0.8432,0.8564,0.8329,0.8462,486996.25,410655.38
2018-03-08 12-PM,XRPUSD,0.8538,0.8538,0.836,0.8432,485658.13,409566.68
2018-03-08 11-AM,XRPUSD,0.86,0.8663,0.8524,0.8538,383791.96,329302.92
2018-03-08 10-AM,XRPUSD,0.8712,0.8721,0.8558,0.86,476546.99,411274.76
2018-03-08 09-AM,XRPUSD,0.8583,0.874,0.8583,0.8712,729618.82,633025.1
2018-03-08 08-AM,XRPUSD,0.8677,0.8683,0.8547,0.8583,403416.19,347735.18
2018-03-08 07-AM,XRPUSD,0.847,0.8705,0.838,0.8677,704675.29,606912.12
2018-03-08 06-AM,XRPUSD,0.85,0.8585,0.8393,0.847,1424002.11,1207628.02
2018-03-08 05-AM,XRPUSD,0.8444,0.85,0.832,0.85,240229.82,202474.17
2018-03-08 04-AM,XRPUSD,0.832,0.846,0.8284,0.8444,276986.16,231667.06
2018-03-08 03-AM,XRPUSD,0.8433,0.852,0.8284,0.832,356526.62,300300.91
2018-03-08 02-AM,XRPUSD,0.854,0.8559,0.83,0.8433,693176.78,583621.82
2018-03-08 01-AM,XRPUSD,0.8663,0.8695,0.8488,0.854,301997.29,259300.7
2018-03-08 12-AM,XRPUSD,0.8515,0.8685,0.8485,0.8663,321773.94,277579.75
2018-03-07 11-PM,XRPUSD,0.8545,0.8625,0.8443,0.8515,679601.48,578825.05
2018-03-07 10-PM,XRPUSD,0.8596,0.88,0.8431,0.8545,2211964.58,1904266.61
2018-03-07 09-PM,XRPUSD,0.8324,0.864,0.8324,0.8596,1702875.04,1454866.0
2018-03-07 08-PM,XRPUSD,0.8362,0.84,0.827,0.8324,813867.4,677116.86
2018-03-07 07-PM,XRPUSD,0.832,0.8392,0.8157,0.8362,1529593.15,1266257.52
2018-03-07 06-PM,XRPUSD,0.8359,0.85,0.82,0.832,2507976.04,2100850.51
2018-03-07 05-PM,XRPUSD,0.8361,0.857,0.7843,0.8359,8948054.34,7328073.1
2018-03-07 04-PM,XRPUSD,0.8893,0.89,0.8282,0.8361,6303181.04,5374284.95
2018-03-07 03-PM,XRPUSD,0.8954,0.903,0.885,0.8893,1039690.04,928756.36
2018-03-07 02-PM,XRPUSD,0.8922,0.9002,0.888,0.8954,517761.95,462001.58
2018-03-07 01-PM,XRPUSD,0.9025,0.9038,0.8911,0.8922,280380.29,252005.48
2018-03-07 12-PM,XRPUSD,0.9091,0.9121,0.8902,0.9025,725358.15,655715.31
2018-03-07 11-AM,XRPUSD,0.8926,0.9091,0.8888,0.9091,441059.08,395911.06
2018-03-07 10-AM,XRPUSD,0.884,0.894,0.884,0.8926,198849.04,176926.44
2018-03-07 09-AM,XRPUSD,0.8945,0.8955,0.8801,0.884,518685.37,461434.47
2018-03-07 08-AM,XRPUSD,0.8876,0.8993,0.8876,0.8945,322166.45,288149.4
2018-03-07 07-AM,XRPUSD,0.89,0.8919,0.876,0.8876,2400437.98,2121111.15
2018-03-07 06-AM,XRPUSD,0.9,0.9,0.89,0.89,630757.89,563164.52
2018-03-07 05-AM,XRPUSD,0.9018,0.907,0.8972,0.9,352750.22,317557.98
2018-03-07 04-AM,XRPUSD,0.9015,0.908,0.9007,0.9018,322390.19,291670.09
2018-03-07 03-AM,XRPUSD,0.9035,0.9041,0.8942,0.9015,253224.1,227290.57
2018-03-07 02-AM,XRPUSD,0.9085,0.9085,0.897,0.9035,260635.12,235095.9
2018-03-07 01-AM,XRPUSD,0.91,0.91,0.9011,0.9085,294029.81,266121.12
2018-03-07 12-AM,XRPUSD,0.9015,0.9133,0.8992,0.91,431042.09,391145.61
2018-03-06 11-PM,XRPUSD,0.9102,0.9138,0.8885,0.9015,1921959.86,1721079.84
2018-03-06 10-PM,XRPUSD,0.9432,0.945,0.9,0.9102,3872167.67,3560949.49
2018-03-06 09-PM,XRPUSD,0.907,0.945,0.9063,0.9432,4910543.07,4543190.18
2018-03-06 08-PM,XRPUSD,0.909,0.9092,0.9008,0.907,585944.1,529671.34
2018-03-06 07-PM,XRPUSD,0.912,0.912,0.9009,0.909,795803.3,720829.06
2018-03-06 06-PM,XRPUSD,0.9132,0.92,0.9101,0.912,612097.66,559695.34
2018-03-06 05-PM,XRPUSD,0.9187,0.922,0.9064,0.9132,631787.26,576615.73
2018-03-06 04-PM,XRPUSD,0.9288,0.9289,0.911,0.9187,1172591.37,1076438.56
2018-03-06 03-PM,XRPUSD,0.9315,0.9324,0.9211,0.9288,234705.21,217222.16
2018-03-06 02-PM,XRPUSD,0.9177,0.934,0.914,0.9315,852062.56,786849.5
2018-03-06 01-PM,XRPUSD,0.9305,0.9305,0.91,0.9177,824212.81,758591.74
2018-03-06 12-PM,XRPUSD,0.9322,0.9322,0.918,0.9305,735235.74,679571.09
2018-03-06 11-AM,XRPUSD,0.912,0.9323,0.9046,0.9322,3018924.74,2752216.4
2018-03-06 10-AM,XRPUSD,0.9685,0.971,0.91,0.912,5150392.17,4757375.05
2018-03-06 09-AM,XRPUSD,0.9725,0.9785,0.9666,0.9685,295626.95,287656.27
2018-03-06 08-AM,XRPUSD,0.954,0.98,0.954,0.9725,3362129.41,3264588.06
2018-03-06 07-AM,XRPUSD,0.9535,0.9545,0.9487,0.954,210703.05,200438.7
2018-03-06 06-AM,XRPUSD,0.9517,0.9556,0.947,0.9535,355168.1,337547.31
2018-03-06 05-AM,XRPUSD,0.952,0.9555,0.947,0.9517,188615.97,179432.48
2018-03-06 04-AM,XRPUSD,0.9545,0.96,0.9454,0.952,259238.29,246545.94
2018-03-06 03-AM,XRPUSD,0.9496,0.9549,0.94,0.9545,275645.22,261036.25
2018-03-06 02-AM,XRPUSD,0.955,0.96,0.9459,0.9496,755365.11,719560.64
2018-03-06 01-AM,XRPUSD,0.9377,0.959,0.933,0.955,1279462.72,1208775.13
2018-03-06 12-AM,XRPUSD,0.9424,0.9443,0.933,0.9377,951529.12,891612.17
2018-03-05 11-PM,XRPUSD,0.95,0.9536,0.939,0.9424,760287.64,719213.11
2018-03-05 10-PM,XRPUSD,0.966,0.966,0.94,0.95,1154514.76,1097804.66
2018-03-05 09-PM,XRPUSD,0.9655,0.9725,0.9542,0.966,2479951.62,2390020.31
2018-03-05 08-PM,XRPUSD,0.9844,0.9869,0.951,0.9655,6643426.16,6435880.6
2018-03-05 07-PM,XRPUSD,1.03,1.03,0.9825,0.9844,3977490.3,3955637.67
2018-03-05 06-PM,XRPUSD,1.03,1.04,1.01,1.03,1441226.06,1469200.84
2018-03-05 05-PM,XRPUSD,1.04,1.04,1.01,1.03,1525358.29,1563705.62
2018-03-05 04-PM,XRPUSD,1.05,1.05,1.04,1.04,876581.25,913451.71
2018-03-05 03-PM,XRPUSD,1.05,1.05,1.04,1.05,1062435.09,1106697.62
2018-03-05 02-PM,XRPUSD,1.07,1.07,1.03,1.05,2004529.42,2101945.86
2018-03-05 01-PM,XRPUSD,1.06,1.08,1.06,1.07,1196524.94,1273988.17
2018-03-05 12-PM,XRPUSD,1.05,1.08,1.04,1.06,2418283.35,2566388.05
2018-03-05 11-AM,XRPUSD,1.05,1.05,1.04,1.05,639865.49,668713.77
2018-03-05 10-AM,XRPUSD,1.06,1.06,1.04,1.05,922328.76,967144.77
2018-03-05 09-AM,XRPUSD,1.04,1.07,1.04,1.06,960822.93,1012240.87
2018-03-05 08-AM,XRPUSD,1.08,1.08,1.03,1.04,2536158.37,2680397.52
2018-03-05 07-AM,XRPUSD,1.02,1.08,1.01,1.08,5526216.4,5785473.78
