Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09 02-AM,BCHUSD,1007.84,1012.34,985.66,1007.41,64.92,64570.45
2018-03-09 01-AM,BCHUSD,1041.98,1041.98,1000.72,1007.84,76.31,77666.18
2018-03-09 12-AM,BCHUSD,1034.8,1049.33,1025.38,1041.98,41.35,42923.31
2018-03-08 11-PM,BCHUSD,1020.97,1037.58,1013,1034.8,135.64,138208.46
2018-03-08 10-PM,BCHUSD,1027.22,1038.62,1013.91,1020.97,47.66,48919.34
2018-03-08 09-PM,BCHUSD,1029.07,1048.29,1026.74,1027.22,15.39,15962.14
2018-03-08 08-PM,BCHUSD,1031.87,1031.87,1022.86,1029.07,26.79,27529.66
2018-03-08 07-PM,BCHUSD,1023.38,1031.87,1014.18,1031.87,10.85,11084.44
2018-03-08 06-PM,BCHUSD,1040.97,1040.97,1014.4,1023.38,90.42,93030.26
2018-03-08 05-PM,BCHUSD,1039.99,1049.02,992.05,1040.97,676.95,688424.65
2018-03-08 04-PM,BCHUSD,1079.37,1080,1032.26,1039.99,305.33,318086.2
2018-03-08 03-PM,BCHUSD,1068.52,1088.49,1068.52,1079.37,55.44,59728.59
2018-03-08 02-PM,BCHUSD,1079,1087.01,1068.52,1068.52,150.47,163215.07
2018-03-08 01-PM,BCHUSD,1065,1080.76,1053.21,1079,34.18,36319.1
2018-03-08 12-PM,BCHUSD,1090.46,1090.46,1064.68,1065,68.24,73123.68
2018-03-08 11-AM,BCHUSD,1089.61,1094.73,1081.07,1090.46,18.89,20579.91
2018-03-08 10-AM,BCHUSD,1107,1107,1089.61,1089.61,26.29,28782.77
2018-03-08 09-AM,BCHUSD,1086.74,1107.49,1084.55,1107,48.27,53082.79
2018-03-08 08-AM,BCHUSD,1095.25,1095.25,1077.09,1086.74,27.92,30392.47
2018-03-08 07-AM,BCHUSD,1079.74,1098.85,1059.38,1095.25,9.67,10540.03
2018-03-08 06-AM,BCHUSD,1092.21,1100,1066.94,1079.74,21.71,23639.6
2018-03-08 05-AM,BCHUSD,1053.26,1095.83,1050.33,1092.21,96.06,103701.81
2018-03-08 04-AM,BCHUSD,1031,1053.26,1028.13,1053.26,53.88,55745.65
2018-03-08 03-AM,BCHUSD,1050,1054.32,1031,1031,27.77,28904.09
2018-03-08 02-AM,BCHUSD,1088.01,1088.01,1050,1050,63.32,66997.41
2018-03-08 01-AM,BCHUSD,1099.95,1101.66,1077.95,1088.01,7.47,8150.4
2018-03-08 12-AM,BCHUSD,1093.38,1111.06,1085.15,1099.95,16.83,18496.12
2018-03-07 11-PM,BCHUSD,1101.1,1102.2,1076.34,1093.38,59.89,65303.94
