Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09,LTCUSD,175.79,184.24,158.57,175.27,85543.64,14472401.04
2018-03-08,LTCUSD,185.7,188.02,174.2,175.79,63608.19,11506475.46
2018-03-07,LTCUSD,196.27,199.52,173.73,185.7,97719.89,18159522.76
2018-03-06,LTCUSD,210.26,210.26,191.2,196.27,48298.63,9675721.98
2018-03-05,LTCUSD,212.8,216.31,208.57,210.26,31282.14,6642400.98
2018-03-04,LTCUSD,210,214.65,204.68,212.8,31028.4,6501704.64
2018-03-03,LTCUSD,212.7,218.65,207.98,210,32306.72,6895871.65
2018-03-02,LTCUSD,209.33,213.93,203.82,212.7,29233.34,6080014.42
2018-03-01,LTCUSD,201.83,215.38,200.01,209.33,44462.97,9312766.63
2018-02-28,LTCUSD,215.3,223.9,201.18,201.83,57492.48,12194552.24
2018-02-27,LTCUSD,218.09,224,212.11,215.3,54111.62,11790205.27
2018-02-26,LTCUSD,218.64,231.76,214.93,218.09,92159.19,20576769.0
2018-02-25,LTCUSD,205.24,223.62,200,218.64,61459.33,12993792.05
2018-02-24,LTCUSD,207.32,218.97,194.4,205.24,55039.35,11239662.28
2018-02-23,LTCUSD,192.68,216.25,182.1,207.32,65237.4,13068451.54
2018-02-22,LTCUSD,209.75,221.42,188.35,192.68,87701.08,17654544.25
2018-02-21,LTCUSD,229.2,231.52,204.26,209.75,102086.71,22170542.62
2018-02-20,LTCUSD,221.96,252.55,221.28,229.2,107905.84,25750274.82
2018-02-19,LTCUSD,214.54,226.51,213.01,221.96,25959.1,5762632.12
2018-02-18,LTCUSD,229.29,232.64,212,214.54,57688.7,12808886.3
2018-02-17,LTCUSD,228.35,233.53,223,229.29,37968.92,8657378.04
2018-02-16,LTCUSD,221.31,235,209.51,228.35,74976.6,16658085.95
2018-02-15,LTCUSD,212.68,237.18,207,221.31,147813.42,32879384.78
2018-02-14,LTCUSD,159.19,217.72,159.19,212.68,182731.86,35679595.71
2018-02-13,LTCUSD,160.48,162.47,151.31,159.19,27868.76,4385889.64
2018-02-12,LTCUSD,149.02,165.34,149.02,160.48,45312.17,7177802.5
2018-02-11,LTCUSD,154.22,156,140.99,149.02,40674.51,6041818.32
2018-02-10,LTCUSD,163.7,169.72,147.88,154.22,50881.07,8097676.22
2018-02-09,LTCUSD,149.95,164.68,141.41,163.7,57248.63,8711417.04
2018-02-08,LTCUSD,137.66,151.33,136.01,149.95,53924.14,7827251.09
2018-02-07,LTCUSD,143.02,160.03,131.2,137.66,134301.63,19786106.72
2018-02-06,LTCUSD,124.97,148.87,104.31,143.02,236375.37,29505914.56
2018-02-05,LTCUSD,147.91,154,116,124.97,173487.16,22969346.95
2018-02-04,LTCUSD,160.52,174.33,135.03,147.91,153029.88,23732443.27
2018-02-03,LTCUSD,130.66,166.19,119.19,160.52,83121.23,12253894.49
2018-02-02,LTCUSD,140.99,141.44,102,130.66,170042.88,21120568.87
2018-02-01,LTCUSD,163,165,127.17,140.99,81585.2,11824965.06
2018-01-31,LTCUSD,163.31,166.66,154.88,163,43309.36,6951132.39
2018-01-30,LTCUSD,180.08,181.16,157.65,163.31,46229.83,7802795.26
2018-01-29,LTCUSD,193.76,194.25,178,180.08,33783.22,6152273.79
2018-01-28,LTCUSD,182.12,195,180.26,193.76,25666.76,4836746.8
2018-01-27,LTCUSD,175.92,184,173.52,182.12,19322.22,3473313.12
2018-01-26,LTCUSD,179,182.52,165.05,175.92,32713.06,5671609.4
2018-01-25,LTCUSD,180.9,185.66,175,179,24604.9,4448933.68
2018-01-24,LTCUSD,177.41,185.92,172.22,180.9,19605.22,3508062.07
2018-01-23,LTCUSD,179.03,186.99,163.54,177.41,30774.27,5410148.71
2018-01-22,LTCUSD,191,195.55,163.48,179.03,46336.6,8277353.93
2018-01-21,LTCUSD,211.07,211.07,182.9,191,42100.66,8157604.16
2018-01-20,LTCUSD,192.58,216.29,192.58,211.07,30134.92,6196170.38
2018-01-19,LTCUSD,192.81,203.45,185.94,192.58,46752.15,9089678.29
2018-01-18,LTCUSD,188.79,208.8,176.13,192.81,95483.05,18541706.48
2018-01-17,LTCUSD,188.94,200.7,137.57,188.79,188252.68,32375861.14
2018-01-16,LTCUSD,232.33,232.45,149.23,188.94,172206.88,33433613.94
2018-01-15,LTCUSD,236.79,245.78,230.53,232.33,20384.61,4851289.93
2018-01-14,LTCUSD,258.54,270,232,236.79,50028.24,12290238.19
2018-01-13,LTCUSD,235.37,262.98,235.1,258.54,40053.42,9901311.97
2018-01-12,LTCUSD,226.88,241.99,219.11,235.37,45903.23,10725044.85
2018-01-11,LTCUSD,249.57,253,218,226.88,97113.34,22558153.11
2018-01-10,LTCUSD,245.81,250,230.47,249.57,64076.56,15371977.17
