Fecha Hora,IdContainer,Carga,Capacidad_Carga_M3,Capacidad_Ocupada_M3,Capacidad_Libre_M3,lat,long,Ubicación
"26/05/2018, 00:00:00",C001,0,3200,0,3200,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 01:00:00",C001,187,3200,187,3013,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 02:00:00",C001,184,3200,371,3016,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 03:00:00",C001,346,3200,717,2854,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 04:00:00",C001,135,3200,852,3065,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 05:00:00",C001,334,3200,1186,2866,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 06:00:00",C001,357,3200,1543,2843,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 07:00:00",C001,376,3200,1919,2824,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 08:00:00",C001,125,3200,2044,3075,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 09:00:00",C001,200,3200,2244,3000,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 10:00:00",C001,356,3200,2600,2844,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 11:00:00",C001,210,3200,2810,2990,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 12:00:00",C001,291,3200,3101,2909,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 13:00:00",C001,122,3200,3223,3078,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 14:00:00",C001,113,3200,3336,3087,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 15:00:00",C001,218,3200,3554,2982,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 16:00:00",C001,295,3200,3849,2905,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 17:00:00",C001,145,3200,3994,3055,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 18:00:00",C001,213,3200,4207,2987,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 19:00:00",C001,348,3200,4555,2852,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 20:00:00",C001,268,3200,4823,2932,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 21:00:00",C001,0,3200,0,3200,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 22:00:00",C001,250,3200,250,2950,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"26/05/2018, 23:00:00",C001,133,3200,383,3067,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 00:00:00",C001,370,3200,753,2830,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 01:00:00",C001,107,3200,860,3093,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 02:00:00",C001,224,3200,1084,2976,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 03:00:00",C001,177,3200,1261,3023,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 04:00:00",C001,310,3200,1571,2890,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 05:00:00",C001,133,3200,1704,3067,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 06:00:00",C001,199,3200,1903,3001,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 07:00:00",C001,202,3200,2105,2998,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 08:00:00",C001,127,3200,2232,3073,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 09:00:00",C001,296,3200,2528,2904,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 10:00:00",C001,235,3200,2763,2965,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
"27/05/2018, 11:00:00",C001,382,3200,3145,2818,"-34,86521254","-58,53399754",Hospital Internacional de Ezeiza
