Id,Fecha Hora,IdContainer,Carga,Capacidad_Carga_M3,Capacidad_Ocupada_M3,Capacidad_Libre_M3,lat,long,Ubicación,Recolectar
1,"26/05/2018, 00:00:00",C003,0,3200,0,3200,"-34,8440874","-58,5074759",Coto Ezeiza,L
2,"26/05/2018, 01:00:00",C003,105,3200,105,3095,"-34,8440874","-58,5074759",Coto Ezeiza,L
3,"26/05/2018, 02:00:00",C003,300,3200,405,2900,"-34,8440874","-58,5074759",Coto Ezeiza,L
4,"26/05/2018, 03:00:00",C003,185,3200,590,3015,"-34,8440874","-58,5074759",Coto Ezeiza,L
5,"26/05/2018, 04:00:00",C003,303,3200,893,2897,"-34,8440874","-58,5074759",Coto Ezeiza,L
6,"26/05/2018, 05:00:00",C003,189,3200,1082,3011,"-34,8440874","-58,5074759",Coto Ezeiza,M
7,"26/05/2018, 06:00:00",C003,163,3200,1245,3037,"-34,8440874","-58,5074759",Coto Ezeiza,M
8,"26/05/2018, 07:00:00",C003,286,3200,1531,2914,"-34,8440874","-58,5074759",Coto Ezeiza,M
9,"26/05/2018, 08:00:00",C003,164,3200,1695,3036,"-34,8440874","-58,5074759",Coto Ezeiza,M
10,"26/05/2018, 09:00:00",C003,121,3200,1816,3079,"-34,8440874","-58,5074759",Coto Ezeiza,M
11,"26/05/2018, 10:00:00",C003,353,3200,2169,2847,"-34,8440874","-58,5074759",Coto Ezeiza,H
12,"26/05/2018, 11:00:00",C003,189,3200,2358,3011,"-34,8440874","-58,5074759",Coto Ezeiza,H
13,"26/05/2018, 12:00:00",C003,232,3200,2590,2968,"-34,8440874","-58,5074759",Coto Ezeiza,H
14,"26/05/2018, 13:00:00",C003,297,3200,2887,2903,"-34,8440874","-58,5074759",Coto Ezeiza,H
15,"26/05/2018, 14:00:00",C003,265,3200,3152,2935,"-34,8440874","-58,5074759",Coto Ezeiza,H
16,"26/05/2018, 15:00:00",C003,346,3200,3152,2854,"-34,8440874","-58,5074759",Coto Ezeiza,H
17,"26/05/2018, 16:00:00",C003,81,3200,3152,3119,"-34,8440874","-58,5074759",Coto Ezeiza,H
18,"26/05/2018, 17:00:00",C003,110,3200,3152,3090,"-34,8440874","-58,5074759",Coto Ezeiza,H
19,"26/05/2018, 18:00:00",C003,99,3200,3152,3101,"-34,8440874","-58,5074759",Coto Ezeiza,H
20,"26/05/2018, 19:00:00",C003,277,3200,3152,2923,"-34,8440874","-58,5074759",Coto Ezeiza,H
