Fecha Hora,IdContainer,Carga,Capacidad_Carga_M3,Capacidad_Ocupada_M3,Capacidad_Libre_M3,lat,long,Ubicación
"26/05/2018, 00:00:00",C001,0,3200,0,3200,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 01:00:00",C001,295,3200,295,2905,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 02:00:00",C001,213,3200,508,2987,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 03:00:00",C001,305,3200,813,2895,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 04:00:00",C001,267,3200,1080,2933,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 05:00:00",C001,156,3200,1236,3044,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 06:00:00",C001,251,3200,1487,2949,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 07:00:00",C001,227,3200,1714,2973,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 08:00:00",C001,264,3200,1978,2936,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 09:00:00",C001,237,3200,2215,2963,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 10:00:00",C001,316,3200,2531,2884,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 11:00:00",C001,337,3200,2868,2863,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 12:00:00",C001,370,3200,3238,2830,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 13:00:00",C001,280,3200,3518,2920,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 14:00:00",C001,162,3200,3680,3038,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 15:00:00",C001,106,3200,3786,3094,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 16:00:00",C001,241,3200,4027,2959,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 17:00:00",C001,256,3200,4283,2944,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 18:00:00",C001,275,3200,4558,2925,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 19:00:00",C001,340,3200,4898,2860,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 20:00:00",C001,382,3200,5280,2818,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 21:00:00",C001,0,3200,0,3200,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 22:00:00",C001,335,3200,335,2865,"-34,855106","-58,5256724",Municipalidad Ezeiza
"26/05/2018, 23:00:00",C001,275,3200,610,2925,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 00:00:00",C001,189,3200,799,3011,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 01:00:00",C001,327,3200,1126,2873,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 02:00:00",C001,371,3200,1497,2829,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 03:00:00",C001,146,3200,1643,3054,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 04:00:00",C001,141,3200,1784,3059,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 05:00:00",C001,285,3200,2069,2915,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 06:00:00",C001,338,3200,2407,2862,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 07:00:00",C001,319,3200,2726,2881,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 08:00:00",C001,351,3200,3077,2849,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 09:00:00",C001,163,3200,3240,3037,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 10:00:00",C001,114,3200,3354,3086,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 11:00:00",C001,225,3200,3579,2975,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 12:00:00",C001,388,3200,3967,2812,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 13:00:00",C001,300,3200,4267,2900,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 14:00:00",C001,392,3200,4659,2808,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 15:00:00",C001,304,3200,4963,2896,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 16:00:00",C001,313,3200,5276,2887,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 17:00:00",C001,209,3200,5485,2991,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 18:00:00",C001,226,3200,5711,2974,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 19:00:00",C001,348,3200,6059,2852,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 20:00:00",C001,0,3200,0,3200,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 21:00:00",C001,226,3200,226,2974,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 22:00:00",C001,206,3200,432,2994,"-34,855106","-58,5256724",Municipalidad Ezeiza
"27/05/2018, 23:00:00",C001,176,3200,608,3024,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 00:00:00",C001,195,3200,803,3005,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 01:00:00",C001,240,3200,1043,2960,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 02:00:00",C001,286,3200,1329,2914,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 03:00:00",C001,245,3200,1574,2955,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 04:00:00",C001,227,3200,1801,2973,"-34,855106","-58,5256724",Municipalidad Ezeiza
"28/05/2018, 05:00:00",C001,399,3200,2200,2801,"-34,855106","-58,5256724",Municipalidad Ezeiza
