Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09,ETHUSD,698.06,713.69,640.55,693.32,40765.75,27600630.25
2018-03-08,ETHUSD,750.42,773.12,686.5,698.06,32177.2,23532983.02
2018-03-07,ETHUSD,813.09,825.61,723.13,750.42,41014.67,31186784.89
2018-03-06,ETHUSD,848,850.99,802.55,813.09,18233.71,15091451.81
2018-03-05,ETHUSD,862.28,869.21,848,848,8662.08,7454520.86
2018-03-04,ETHUSD,853.76,866.43,837.17,862.28,5387.93,4585621.88
2018-03-03,ETHUSD,856.08,868.7,849,853.76,5600.73,4812826.3
2018-03-02,ETHUSD,869.01,875.17,847.93,856.08,7584.52,6531494.58
2018-03-01,ETHUSD,850.16,881.47,845.81,869.01,16063.6,13958089.6
2018-02-28,ETHUSD,870.32,889.85,848.46,850.16,15701.07,13654448.62
2018-02-27,ETHUSD,868.4,896,861,870.32,14062.01,12366980.38
2018-02-26,ETHUSD,842.65,880,834.77,868.4,15603.01,13426195.18
2018-02-25,ETHUSD,835.74,851.38,818.38,842.65,8988.89,7497588.33
2018-02-24,ETHUSD,851.98,878,809.01,835.74,11028.29,9240502.17
2018-02-23,ETHUSD,803.57,883.44,787,851.98,20669.2,17425267.71
2018-02-22,ETHUSD,837.98,871.81,789.99,803.57,26905.05,22123158.68
2018-02-21,ETHUSD,884.24,906.09,816,837.98,34498.71,29817820.23
2018-02-20,ETHUSD,938.05,958.74,874,884.24,25435.77,23414826.73
2018-02-19,ETHUSD,912.85,955.58,906,938.05,14832.72,13910821.95
2018-02-18,ETHUSD,977.74,983.31,905.52,912.85,28492.25,26674431.16
2018-02-17,ETHUSD,940,980,935.25,977.74,20558.71,19769580.41
2018-02-16,ETHUSD,927.91,947.87,908,940,23773.48,22105688.99
2018-02-15,ETHUSD,922.98,951.25,905,927.91,41358.45,38469448.44
2018-02-14,ETHUSD,841.82,924.52,839.75,922.98,43648.22,38820006.6
2018-02-13,ETHUSD,865.57,869.14,819.31,841.82,24840.28,20852550.01
2018-02-12,ETHUSD,809.69,877.95,808.52,865.57,23687.09,20236422.85
2018-02-11,ETHUSD,851.83,855.19,775.99,809.69,25362.86,20574387.38
2018-02-10,ETHUSD,875.1,913.3,815,851.83,32319.24,28159024.53
2018-02-09,ETHUSD,812.01,883.07,780.88,875.1,40273.37,33440757.53
2018-02-08,ETHUSD,752.89,846.28,748.42,812.01,40467.32,32767068.71
2018-02-07,ETHUSD,784.01,866.05,720.01,752.89,75081.13,59979215.08
2018-02-06,ETHUSD,692.36,808,565,784.01,157935.75,105635084.43
2018-02-05,ETHUSD,826.51,855,632,692.36,128779.91,93646186.49
2018-02-04,ETHUSD,969.93,969.96,782,826.51,37124.18,32212587.32
2018-02-03,ETHUSD,918.39,995,838.67,969.93,27592.49,25845614.41
2018-02-02,ETHUSD,1022.08,1022.08,731,918.39,184904.24,163787521.59
2018-02-01,ETHUSD,1110.14,1152.05,936,1022.08,92033.55,97420345.0
2018-01-31,ETHUSD,1051.54,1118.88,1010.77,1110.14,34149.47,36823923.26
2018-01-30,ETHUSD,1168,1172,1025.77,1051.54,61847.15,68310979.3
2018-01-29,ETHUSD,1229.41,1239,1141,1168,40475.91,47712758.1
2018-01-28,ETHUSD,1115.51,1240,1099.76,1229.41,29175.42,34733431.76
2018-01-27,ETHUSD,1051.81,1126.01,1034.45,1115.51,29317.95,31570026.1
2018-01-26,ETHUSD,1050,1075.9,984,1051.81,39359.62,40473858.68
2018-01-25,ETHUSD,1065,1105,1014.48,1050,62196.24,65357176.23
2018-01-24,ETHUSD,983.7,1069.65,957.69,1065,44493.76,45222578.83
2018-01-23,ETHUSD,997.21,1024.98,905,983.7,61938.03,60151552.29
2018-01-22,ETHUSD,1049.09,1092,917,997.21,48389.73,48078073.65
2018-01-21,ETHUSD,1150,1151,1008,1049.09,37050.56,39711684.02
2018-01-20,ETHUSD,1036.03,1171,1036.03,1150,31922.41,35856520.99
2018-01-19,ETHUSD,1024.69,1095,995.01,1036.03,49838.57,51792512.24
2018-01-18,ETHUSD,1029.22,1105,951.12,1024.69,96056.34,99181551.38
2018-01-17,ETHUSD,1057.88,1109.58,761.61,1029.22,179200.0,162181963.93
2018-01-16,ETHUSD,1276.71,1281.16,862.11,1057.88,127923.05,136634452.92
2018-01-15,ETHUSD,1359.59,1379,1269,1276.71,33997.65,44691560.27
2018-01-14,ETHUSD,1384.78,1389,1265,1359.59,35328.24,46817527.9
2018-01-13,ETHUSD,1258.68,1420,1256,1384.78,41803.41,56577725.3
2018-01-12,ETHUSD,1135,1288.34,1080.59,1258.68,46451.21,56579737.77
2018-01-11,ETHUSD,1240.48,1334.33,1100,1135,95639.75,114736730.72
2018-01-10,ETHUSD,1287.47,1378.99,1187.96,1240.48,96347.51,125834355.1
2018-01-09,ETHUSD,1130,1301,1115,1287.47,102885.38,123662002.07
2018-01-08,ETHUSD,1117.96,1229.76,964,1130,109477.59,123173201.93
2018-01-07,ETHUSD,1004.27,1118.72,1000,1117.96,47293.11,50605502.35
2018-01-06,ETHUSD,966,1009.22,950.01,1004.27,29967.36,29708300.53
2018-01-05,ETHUSD,940,1022,924.69,966,52023.54,50807581.42
2018-01-04,ETHUSD,940.4,999.91,895.52,940,77160.74,73312586.84
2018-01-03,ETHUSD,858.6,950,850,940.4,57117.21,50614980.68
2018-01-02,ETHUSD,752.78,888,752.78,858.6,67628.49,57231450.99
2018-01-01,ETHUSD,743.48,768.87,722.02,752.78,29181.94,21811639.35
2017-12-31,ETHUSD,698.46,759.08,687.03,743.48,24771.96,17864222.87
2017-12-30,ETHUSD,732.67,740.72,659.06,698.46,59596.87,41619597.01
2017-12-29,ETHUSD,717.23,758,709,732.67,44816.84,32932640.32
2017-12-28,ETHUSD,738.78,739.8,666,717.23,40099.34,28006548.75
2017-12-27,ETHUSD,751.09,770,704.54,738.78,53760.85,39840501.45
2017-12-26,ETHUSD,724,765,716.7,751.09,24164.54,17964660.22
2017-12-25,ETHUSD,686.96,750,684,724,42706.02,30624272.73
2017-12-24,ETHUSD,699.86,704.93,604.19,686.96,45120.39,29335293.78
2017-12-23,ETHUSD,669.36,755,649.57,699.86,40879.14,29124563.94
2017-12-22,ETHUSD,783.8,792.5,501,669.36,164428.2,104608927.33
2017-12-21,ETHUSD,797.1,842.73,752,783.8,75451.39,60484270.34
2017-12-20,ETHUSD,817.72,833.67,721.02,797.1,81483.02,64005220.28
2017-12-19,ETHUSD,787.28,870,772.91,817.72,87098.13,71504353.38
2017-12-18,ETHUSD,706.91,800.39,671.56,787.28,57460.08,42506114.15
2017-12-17,ETHUSD,684,726,683.06,706.91,27771.42,19664123.78
2017-12-16,ETHUSD,676.36,711.77,665.5,684,23905.72,16434500.56
2017-12-15,ETHUSD,689.69,692.5,601.13,676.36,54771.22,36087695.59
2017-12-14,ETHUSD,694.5,745,647.5,689.69,89396.17,62301015.17
2017-12-13,ETHUSD,620.59,742.23,585,694.5,127713.17,85319760.43
2017-12-12,ETHUSD,503.47,645.55,487,620.59,95283.01,53634930.74
2017-12-11,ETHUSD,425.07,505,421.17,503.47,44543.45,20712267.88
2017-12-10,ETHUSD,456.38,459.44,401.33,425.07,29510.03,12703843.48
2017-12-09,ETHUSD,440.27,497.99,433,456.38,48252.92,22439454.27
2017-12-08,ETHUSD,411.03,454.85,391,440.27,58296.63,25139946.87
2017-12-07,ETHUSD,415.83,436.42,400,411.03,48889.8,20297020.09
2017-12-06,ETHUSD,455.76,459.85,405.88,415.83,50979.87,22125584.99
2017-12-05,ETHUSD,467.83,471.9,450.49,455.76,22812.03,10475929.75
2017-12-04,ETHUSD,463,473.9,446.2,467.83,31067.36,14339920.11
2017-12-03,ETHUSD,456.04,482.8,441.02,463,33041.92,15385296.14
2017-12-02,ETHUSD,460.3,472.32,447,456.04,23203.04,10679948.95
2017-12-01,ETHUSD,435.09,469.4,415.16,460.3,30626.87,13628268.39
2017-11-30,ETHUSD,423.9,455.99,388,435.09,59144.71,24829664.37
2017-11-29,ETHUSD,464.95,519.23,405,423.9,116769.92,54776310.04
2017-11-28,ETHUSD,474.67,478.15,457.61,464.95,49678.07,23218695.7
2017-11-27,ETHUSD,467,487,456.24,474.67,53900.59,25539860.51
2017-11-26,ETHUSD,463,472.76,438.09,467,29143.14,13208221.61
2017-11-25,ETHUSD,471.17,483,451,463,31084.17,14484869.28
2017-11-24,ETHUSD,406.75,478.99,395,471.17,84954.03,36850995.89
2017-11-23,ETHUSD,380.88,426.04,370.11,406.75,77408.69,31247094.1
2017-11-22,ETHUSD,359.6,383.94,358.33,380.88,34942.55,12961685.49
2017-11-21,ETHUSD,366,372.94,345.52,359.6,51067.56,18500330.41
2017-11-20,ETHUSD,354.48,372.88,350,366,28170.7,10193832.49
2017-11-19,ETHUSD,346.96,372,344.01,354.48,32139.68,11451664.0
2017-11-18,ETHUSD,331.25,349.31,326.3,346.96,26074.43,8763543.7
2017-11-17,ETHUSD,329.91,334.86,325,331.25,24845.12,8208502.56
2017-11-16,ETHUSD,331.88,335.16,321,329.91,34360.48,11257762.02
2017-11-15,ETHUSD,335.54,340,323.19,331.88,27052.55,9039874.86
2017-11-14,ETHUSD,315.81,340.99,314.95,335.54,48769.57,16066296.01
2017-11-13,ETHUSD,306.1,320.69,305.91,316.14,36613.5,11517856.3
2017-11-12,ETHUSD,315.76,318.98,300.11,306.1,48200.8,14854823.36
2017-11-11,ETHUSD,298.66,322.19,298,315.76,23836.74,7328431.51
2017-11-10,ETHUSD,321.32,325.61,291,298.66,34411.65,10580539.65
2017-11-09,ETHUSD,322.15,331.7,317.29,321.32,13118.15,4270934.9
