Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09,XRPUSD,0.8047,0.8421,0.7333,0.792,24586523.9,19000363.19
2018-03-08,XRPUSD,0.8515,0.874,0.795,0.8047,18334032.32,15236519.42
2018-03-07,XRPUSD,0.9015,0.9133,0.7843,0.8515,33686330.85,28718597.64
2018-03-06,XRPUSD,0.9424,0.98,0.8885,0.9015,33251911.46,30837488.44
2018-03-05,XRPUSD,1,1.08,0.939,0.9424,45819864.16,46374410.99
2018-03-04,XRPUSD,0.8957,1.05,0.8825,1,27611570.03,26305575.76
2018-03-03,XRPUSD,0.8981,0.915,0.888,0.8957,9337591.4,8429310.22
2018-03-02,XRPUSD,0.915,0.92,0.884,0.8981,7825939.51,7037907.58
2018-03-01,XRPUSD,0.885,0.949,0.875,0.915,11989278.55,10933212.04
2018-02-28,XRPUSD,0.9274,0.9461,0.8801,0.885,12270675.3,11216986.42
2018-02-27,XRPUSD,0.9261,0.96,0.9161,0.9274,10701388.57,10025754.12
2018-02-26,XRPUSD,0.9033,0.9446,0.875,0.9261,13850013.48,12681575.84
2018-02-25,XRPUSD,0.9,0.925,0.875,0.9033,9345067.63,8406434.13
2018-02-24,XRPUSD,0.9362,0.97,0.87,0.9,13913311.73,12663978.34
2018-02-23,XRPUSD,0.89,0.9867,0.8511,0.9362,24564243.63,22827560.65
2018-02-22,XRPUSD,0.9509,1,0.8601,0.89,31698156.21,29144305.11
2018-02-21,XRPUSD,1.03,1.05,0.936,0.9509,25665368.52,25273618.78
2018-02-20,XRPUSD,1.11,1.13,1.01,1.03,19132539.86,20512853.2
2018-02-19,XRPUSD,1.07,1.14,1.06,1.11,9092215.44,10061629.88
2018-02-18,XRPUSD,1.18,1.18,1.04,1.07,26396288.06,29036545.66
2018-02-17,XRPUSD,1.12,1.2,1.11,1.18,21927985.38,25304349.84
2018-02-16,XRPUSD,1.11,1.13,1.07,1.12,14676344.11,16095978.91
2018-02-15,XRPUSD,1.13,1.14,1.07,1.11,29657377.46,32945332.2
2018-02-14,XRPUSD,0.9876,1.16,0.9781,1.13,36970129.11,39381926.59
2018-02-13,XRPUSD,1.04,1.05,0.962,0.9876,20280187.83,20238885.09
2018-02-12,XRPUSD,0.963,1.08,0.9521,1.04,33309022.59,34316151.41
2018-02-11,XRPUSD,1.02,1.04,0.8875,0.963,43788029.18,41987051.53
2018-02-10,XRPUSD,0.92,1.23,0.902,1.02,88638824.94,92685987.02
2018-02-09,XRPUSD,0.7777,0.9299,0.74,0.92,56479645.07,48217998.75
2018-02-08,XRPUSD,0.7145,0.7887,0.709,0.7777,32540681.76,24484301.13
2018-02-07,XRPUSD,0.7615,0.825,0.695,0.7145,42437431.38,32271653.4
2018-02-06,XRPUSD,0.6765,0.7895,0.5627,0.7615,113106295.89,75526985.22
2018-02-05,XRPUSD,0.8154,0.8362,0.636,0.6765,84906673.43,60387988.85
2018-02-04,XRPUSD,0.9606,0.965,0.775,0.8154,36814679.79,31619985.58
2018-02-03,XRPUSD,0.8939,1.02,0.7725,0.9606,45892101.38,42027304.36
2018-02-02,XRPUSD,0.9418,0.958,0.6325,0.8939,127492880.65,103534885.16
2018-02-01,XRPUSD,1.12,1.13,0.8685,0.9418,54259270.89,52817723.18
2018-01-31,XRPUSD,1.1,1.15,1,1.12,27943616.38,30272996.29
2018-01-30,XRPUSD,1.26,1.26,1.07,1.1,40098202.38,46677527.18
2018-01-29,XRPUSD,1.35,1.36,1.24,1.26,16975824.99,21793627.68
2018-01-28,XRPUSD,1.22,1.39,1.21,1.35,18441508.11,23664600.24
2018-01-27,XRPUSD,1.21,1.24,1.18,1.22,13654988.37,16552905.32
2018-01-26,XRPUSD,1.3,1.32,1.1,1.21,40712760.53,49016616.02
2018-01-25,XRPUSD,1.36,1.38,1.27,1.3,17036378.66,22556899.95
2018-01-24,XRPUSD,1.34,1.42,1.29,1.36,28283194.68,38169421.29
2018-01-23,XRPUSD,1.34,1.45,1.18,1.34,54330864.3,71821765.05
2018-01-22,XRPUSD,1.36,1.42,1.13,1.34,58462893.59,72656451.88
2018-01-21,XRPUSD,1.57,1.57,1.31,1.36,39588968.87,55685753.29
2018-01-20,XRPUSD,1.54,1.63,1.46,1.57,28559392.47,44437204.1
2018-01-19,XRPUSD,1.59,1.7,1.45,1.54,54546678.22,85953071.16
2018-01-18,XRPUSD,1.3,1.74,1.23,1.59,124880342.52,189811672.25
2018-01-17,XRPUSD,1.18,1.39,0.87,1.3,195921613.95,216094785.14
2018-01-16,XRPUSD,1.65,1.68,0.87,1.18,170048885.27,214125698.95
2018-01-15,XRPUSD,1.82,1.87,1.63,1.65,18030332.4,31747575.36
2018-01-14,XRPUSD,1.99,2,1.76,1.82,20473578.7,37814835.12
2018-01-13,XRPUSD,2.01,2.12,1.95,1.99,21377252.4,43458918.14
2018-01-12,XRPUSD,1.92,2.15,1.8,2.01,46230053.21,92359528.03
2018-01-11,XRPUSD,1.94,2.25,1.56,1.92,140418849.75,267819276.58
2018-01-10,XRPUSD,2.04,2.12,1.61,1.94,90014066.96,169909902.37
2018-01-09,XRPUSD,2.4,2.48,1.9,2.04,57735631.59,125135596.64
2018-01-08,XRPUSD,2.75,2.78,1.9,2.4,60791882.55,146400867.34
2018-01-07,XRPUSD,2.64,2.8,2.53,2.75,21660807.84,58670513.14
2018-01-06,XRPUSD,2.52,2.85,2.44,2.64,32621788.94,86908240.18
2018-01-05,XRPUSD,2.73,3.06,2.16,2.52,91422075.98,237705139.26
2018-01-04,XRPUSD,2.72,3.32,2.51,2.73,113983592.04,335937893.36
2018-01-03,XRPUSD,2.18,2.85,2.15,2.72,90882383.29,230506889.54
2018-01-02,XRPUSD,2.04,2.19,1.91,2.18,47250447.47,98054613.76
2018-01-01,XRPUSD,1.99,2.09,1.81,2.04,28494038.92,54770829.38
2017-12-31,XRPUSD,1.89,2.1,1.61,1.99,52975240.49,99393267.63
2017-12-30,XRPUSD,1.93,2.47,1.77,1.89,141231805.12,294584889.51
2017-12-29,XRPUSD,1.26,1.97,1.26,1.93,142973928.83,234364713.43
2017-12-28,XRPUSD,1.21,1.3,1.1,1.26,57479060.94,70094869.7
2017-12-27,XRPUSD,1.07,1.27,1.06,1.21,77003030.04,89304185.64
2017-12-26,XRPUSD,0.992,1.1,0.9812,1.07,26532527.67,27239866.34
2017-12-25,XRPUSD,1.01,1.04,0.9544,0.992,18995531.7,18981785.49
2017-12-24,XRPUSD,1.04,1.04,0.86,1.01,41804219.05,40056370.33
2017-12-23,XRPUSD,1.05,1.1,0.955,1.04,48253507.28,50608930.78
2017-12-22,XRPUSD,1.13,1.25,0.67,1.05,193818531.9,190200878.55
2017-12-21,XRPUSD,0.7161,1.14,0.7161,1.13,177103891.35,169160812.67
2017-12-20,XRPUSD,0.7497,0.75,0.66,0.7161,45446220.19,32335450.73
2017-12-19,XRPUSD,0.7598,0.8422,0.7128,0.7497,56930098.48,44073514.32
2017-12-18,XRPUSD,0.7097,0.799,0.64,0.7598,61759174.32,45117182.93
2017-12-17,XRPUSD,0.74,0.7515,0.69,0.7097,26429516.62,19077552.69
2017-12-16,XRPUSD,0.7288,0.81,0.71,0.74,51953854.7,39156303.03
2017-12-15,XRPUSD,0.838,0.84,0.61,0.7288,120573346.59,89582227.38
2017-12-14,XRPUSD,0.4616,0.8827,0.45,0.838,238556680.64,164770868.25
