Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09 02-AM,ETHUSD,686.54,686.54,667.29,676.98,3634.43,2452287.96
2018-03-09 01-AM,ETHUSD,704.38,704.38,679.08,686.54,2325.52,1603088.49
2018-03-09 12-AM,ETHUSD,698.06,706.62,695.72,704.38,2440.3,1712098.52
2018-03-08 11-PM,ETHUSD,692.13,703.84,691.4,698.06,1169.38,816668.84
2018-03-08 10-PM,ETHUSD,702.72,703.77,686.5,692.13,986.11,684945.07
2018-03-08 09-PM,ETHUSD,709,713.45,700,702.72,1221.92,865521.74
2018-03-08 08-PM,ETHUSD,711.25,714.53,705.93,709,822.53,583225.3
2018-03-08 07-PM,ETHUSD,713.99,714,707.55,711.25,576.07,409945.29
2018-03-08 06-PM,ETHUSD,705.37,717.28,701.15,713.99,821.64,582106.07
2018-03-08 05-PM,ETHUSD,717.54,717.63,697.01,705.37,7041.05,4971625.68
2018-03-08 04-PM,ETHUSD,751.79,752.76,713.11,717.54,2891.36,2109357.71
2018-03-08 03-PM,ETHUSD,744.33,753.57,742.38,751.79,506.8,379736.79
2018-03-08 02-PM,ETHUSD,751.81,755.14,742.84,744.33,464.6,348043.51
2018-03-08 01-PM,ETHUSD,745.38,754.1,738.54,751.81,1603.25,1192413.07
2018-03-08 12-PM,ETHUSD,764.43,765.58,742.25,745.38,754.53,568165.96
2018-03-08 11-AM,ETHUSD,769.02,769.99,764,764.43,705.21,540478.97
2018-03-08 10-AM,ETHUSD,772.77,773.12,763,769.02,754.91,579751.25
2018-03-08 09-AM,ETHUSD,759.65,773.08,758.46,772.77,1520.82,1167415.52
2018-03-08 08-AM,ETHUSD,756.76,760.79,754.97,759.65,1040.86,789743.52
2018-03-08 07-AM,ETHUSD,748.31,759.41,744,756.76,872.68,657705.05
2018-03-08 06-AM,ETHUSD,746.44,750.98,743,748.31,2016.36,1503695.47
2018-03-08 05-AM,ETHUSD,746.67,749.53,742.04,746.44,411.79,307308.64
2018-03-08 04-AM,ETHUSD,734.5,748,734.03,746.67,1214.49,898295.05
2018-03-08 03-AM,ETHUSD,738.19,743.57,734.01,734.5,1257.33,928537.7
2018-03-08 02-AM,ETHUSD,753.83,754.85,736.24,738.19,1569.5,1167299.95
2018-03-08 01-AM,ETHUSD,758.5,763.55,751.73,753.83,1020.42,774471.32
2018-03-08 12-AM,ETHUSD,750.42,760.99,748.78,758.5,933.59,706525.53
2018-03-07 11-PM,ETHUSD,755,757.57,747.08,750.42,830.07,624861.18
2018-03-07 10-PM,ETHUSD,749.68,769.46,749.68,755,1773.85,1348403.88
2018-03-07 09-PM,ETHUSD,739.54,751.8,735.7,749.68,1778.4,1322869.0
2018-03-07 08-PM,ETHUSD,742.04,743.71,735.33,739.54,1840.15,1359252.07
2018-03-07 07-PM,ETHUSD,738.9,742.78,732.07,742.04,3210.61,2367332.41
2018-03-07 06-PM,ETHUSD,737.82,751.46,737.82,738.9,3428.93,2554143.04
2018-03-07 05-PM,ETHUSD,739.57,748,723.13,737.82,7475.63,5487486.97
2018-03-07 04-PM,ETHUSD,784.81,786.99,732.78,739.57,5768.86,4339371.95
2018-03-07 03-PM,ETHUSD,788.99,789.94,782.2,784.81,495.0,389410.82
2018-03-07 02-PM,ETHUSD,791.99,792.65,782.6,788.99,436.31,342608.07
2018-03-07 01-PM,ETHUSD,788.77,793.98,788.01,791.99,206.31,163049.15
2018-03-07 12-PM,ETHUSD,788.99,794.84,786,788.77,1194.07,943015.56
2018-03-07 11-AM,ETHUSD,781.33,789.48,779,788.99,1203.76,944231.15
2018-03-07 10-AM,ETHUSD,776.36,783,775.04,781.33,2072.18,1618163.21
2018-03-07 09-AM,ETHUSD,788.5,788.93,775.58,776.36,1526.03,1190220.24
2018-03-07 08-AM,ETHUSD,787.31,793.02,785.37,788.5,861.38,679617.78
2018-03-07 07-AM,ETHUSD,783.07,789.51,778.05,787.31,1990.14,1559832.26
2018-03-07 06-AM,ETHUSD,798.85,800.53,782.36,783.07,2074.07,1642493.62
2018-03-07 05-AM,ETHUSD,812.3,812.8,798.08,798.85,1152.35,925756.94
2018-03-07 04-AM,ETHUSD,813.31,814.24,808,812.3,279.2,226463.82
2018-03-07 03-AM,ETHUSD,818.6,818.6,811.28,813.31,528.85,430121.73
2018-03-07 02-AM,ETHUSD,823.98,824.43,816.62,818.6,317.47,260354.09
2018-03-07 01-AM,ETHUSD,820.38,825.61,819.03,823.98,296.45,243591.43
2018-03-07 12-AM,ETHUSD,813.09,820.99,813.08,820.38,274.61,224134.5
2018-03-06 11-PM,ETHUSD,819.17,819.17,807.72,813.09,272.85,221604.27
2018-03-06 10-PM,ETHUSD,816.14,820.09,814.12,819.17,445.6,363816.0
2018-03-06 09-PM,ETHUSD,806.57,819.76,806.57,816.14,875.46,714667.58
2018-03-06 08-PM,ETHUSD,812.35,814.22,805.51,806.57,604.82,489550.01
2018-03-06 07-PM,ETHUSD,813.05,814,802.55,812.35,1867.81,1508382.74
2018-03-06 06-PM,ETHUSD,817.81,823.48,812,813.05,889.92,728029.86
2018-03-06 05-PM,ETHUSD,828.89,828.89,817.38,817.81,679.62,558154.37
2018-03-06 04-PM,ETHUSD,831.11,831.11,827,828.89,282.22,233971.85
2018-03-06 03-PM,ETHUSD,829.45,831.9,826.95,831.11,102.05,84682.14
2018-03-06 02-PM,ETHUSD,821.8,829.45,820.26,829.45,1007.99,829620.64
2018-03-06 01-PM,ETHUSD,830.98,831,820,821.8,837.97,690527.71
2018-03-06 12-PM,ETHUSD,833.41,834.92,818.81,830.98,2668.51,2198970.78
2018-03-06 11-AM,ETHUSD,831.56,834.4,828.08,833.41,1274.91,1059229.94
2018-03-06 10-AM,ETHUSD,846.31,846.94,830.01,831.56,1873.95,1569826.27
2018-03-06 09-AM,ETHUSD,847.1,847.6,845.3,846.31,101.24,85706.31
2018-03-06 08-AM,ETHUSD,849.41,849.84,845.01,847.1,458.05,388461.46
2018-03-06 07-AM,ETHUSD,848.9,849.56,844.4,849.41,89.32,75651.43
2018-03-06 06-AM,ETHUSD,848.7,850.99,846.42,848.9,209.77,178049.71
2018-03-06 05-AM,ETHUSD,845.81,849.75,845.55,848.7,92.37,78323.54
2018-03-06 04-AM,ETHUSD,845.51,847.71,843.12,845.81,507.67,429532.57
2018-03-06 03-AM,ETHUSD,843.78,845.51,840,845.51,386.74,326026.61
2018-03-06 02-AM,ETHUSD,842.57,845.23,840.8,843.78,430.29,362263.64
2018-03-06 01-AM,ETHUSD,840.2,843.37,838.65,842.57,969.02,814067.39
2018-03-06 12-AM,ETHUSD,848,848.39,840.01,840.2,1305.56,1102334.98
2018-03-05 11-PM,ETHUSD,854.51,854.51,848,848,414.28,351911.51
2018-03-05 10-PM,ETHUSD,855.18,855.59,851.36,854.51,132.7,113269.01
2018-03-05 09-PM,ETHUSD,853.65,855.18,851.11,855.18,313.88,267649.93
2018-03-05 08-PM,ETHUSD,855.91,858.59,851,853.65,511.56,437009.04
2018-03-05 07-PM,ETHUSD,860.01,864.46,854.54,855.91,633.61,544543.57
2018-03-05 06-PM,ETHUSD,856,862.35,852.55,860.01,586.32,503092.9
2018-03-05 05-PM,ETHUSD,857.85,857.85,853.86,856,307.63,263260.9
2018-03-05 04-PM,ETHUSD,857.22,860.07,855.37,857.85,291.51,249899.4
2018-03-05 03-PM,ETHUSD,859.1,861.87,855,857.22,562.0,481968.0
2018-03-05 02-PM,ETHUSD,864.35,864.53,858.37,859.1,579.19,498869.47
2018-03-05 01-PM,ETHUSD,864.8,866.86,862.23,864.35,50.2,43416.63
2018-03-05 12-PM,ETHUSD,863.12,869.21,863,864.8,787.45,683526.23
