Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-09 02-AM,LTCUSD,168.81,169.7,165.02,168.23,6012.85,1004128.79
2018-03-09 01-AM,LTCUSD,176.49,176.49,166.01,168.81,9831.28,1673420.2
2018-03-09 12-AM,LTCUSD,175.79,177.47,175.45,176.49,1088.06,191948.79
2018-03-08 11-PM,LTCUSD,174.85,177.25,174.2,175.79,1868.1,328917.11
2018-03-08 10-PM,LTCUSD,177.76,178.68,174.85,174.85,800.54,141924.11
2018-03-08 09-PM,LTCUSD,177.17,180.32,177.17,177.76,5052.36,901301.59
2018-03-08 08-PM,LTCUSD,176.76,177.54,175.81,177.17,1779.88,314717.3
2018-03-08 07-PM,LTCUSD,177.53,177.58,175.26,176.76,1634.6,288611.26
2018-03-08 06-PM,LTCUSD,177.8,178.5,175.33,177.53,2490.47,441233.36
2018-03-08 05-PM,LTCUSD,178.61,179.78,174.33,177.8,9919.97,1749914.49
2018-03-08 04-PM,LTCUSD,185,185,176.3,178.61,4031.21,730446.66
2018-03-08 03-PM,LTCUSD,182.48,185.56,181.88,185,4341.54,798201.12
2018-03-08 02-PM,LTCUSD,183.52,183.99,180.18,182.48,1689.14,307374.17
2018-03-08 01-PM,LTCUSD,181.35,183.84,178.92,183.52,1346.01,243133.72
2018-03-08 12-PM,LTCUSD,184.15,185.56,180.5,181.35,1612.37,294668.0
2018-03-08 11-AM,LTCUSD,186.22,186.22,183.27,184.15,1020.31,188359.34
2018-03-08 10-AM,LTCUSD,186.92,187.57,184.68,186.22,2537.68,473378.35
2018-03-08 09-AM,LTCUSD,184.9,188.02,184.73,186.92,1879.68,350640.67
2018-03-08 08-AM,LTCUSD,185.17,186.07,183,184.9,1866.39,344071.83
2018-03-08 07-AM,LTCUSD,181.32,185.9,179.85,185.17,1649.57,303241.37
2018-03-08 06-AM,LTCUSD,182.62,183.71,180.94,181.32,966.37,176235.02
2018-03-08 05-AM,LTCUSD,182.6,182.98,180.5,182.62,2934.6,535070.6
2018-03-08 04-AM,LTCUSD,178.22,182.74,178.2,182.6,799.34,144653.41
2018-03-08 03-AM,LTCUSD,179.82,181.33,178.22,178.22,873.26,157064.39
2018-03-08 02-AM,LTCUSD,184.25,184.61,177.72,179.82,6205.84,1118474.74
2018-03-08 01-AM,LTCUSD,186.84,187.99,183.5,184.25,3806.9,707153.55
2018-03-08 12-AM,LTCUSD,185.7,187.86,185.31,186.84,2502.03,467689.31
2018-03-07 11-PM,LTCUSD,185.52,187.26,183.66,185.7,2573.95,476756.51
2018-03-07 10-PM,LTCUSD,185.95,189.5,185.18,185.52,5945.69,1115477.61
2018-03-07 09-PM,LTCUSD,181.08,186.35,180.8,185.95,5851.73,1076346.93
2018-03-07 08-PM,LTCUSD,182.97,182.98,179.51,181.08,4740.74,858296.48
2018-03-07 07-PM,LTCUSD,179.56,183.04,178.86,182.97,3425.07,619610.12
2018-03-07 06-PM,LTCUSD,180.08,183.37,179.14,179.56,6982.97,1266197.05
2018-03-07 05-PM,LTCUSD,181.13,184.21,173.73,180.08,19759.89,3534606.3
2018-03-07 04-PM,LTCUSD,193.62,193.98,176.55,181.13,14059.91,2574221.64
2018-03-07 03-PM,LTCUSD,193.99,195.22,193.3,193.62,3298.86,638912.12
2018-03-07 02-PM,LTCUSD,193.02,194.38,192,193.99,1560.28,301486.59
2018-03-07 01-PM,LTCUSD,193.28,195.2,191.75,193.02,875.21,169500.15
2018-03-07 12-PM,LTCUSD,192.98,194.65,191.92,193.28,988.24,191370.32
2018-03-07 11-AM,LTCUSD,189.6,193.22,189.08,192.98,1489.17,284368.15
2018-03-07 10-AM,LTCUSD,188.99,191.26,188.98,189.6,3561.58,676876.45
2018-03-07 09-AM,LTCUSD,191.13,191.15,187.52,188.99,3444.55,650123.95
2018-03-07 08-AM,LTCUSD,191.59,193.53,191.13,191.13,2322.37,447645.79
2018-03-07 07-AM,LTCUSD,191.03,192.77,188.14,191.59,3651.55,694736.89
2018-03-07 06-AM,LTCUSD,195.8,196.11,190.82,191.03,3223.21,622445.8
2018-03-07 05-AM,LTCUSD,196.46,197.87,195.25,195.8,1618.43,318258.85
2018-03-07 04-AM,LTCUSD,195.66,197.02,195.22,196.46,2650.47,519213.86
2018-03-07 03-AM,LTCUSD,197.21,197.52,195.01,195.66,2322.5,455375.41
2018-03-07 02-AM,LTCUSD,198.64,198.64,196.5,197.21,873.22,172495.24
2018-03-07 01-AM,LTCUSD,199.39,199.39,197,198.64,1284.57,254167.55
2018-03-07 12-AM,LTCUSD,196.27,199.52,196.27,199.39,1215.71,241033.0
2018-03-06 11-PM,LTCUSD,198.7,198.73,194.5,196.27,3888.94,759523.27
2018-03-06 10-PM,LTCUSD,199.01,199.01,197.4,198.7,682.1,135281.66
2018-03-06 09-PM,LTCUSD,194.79,200.66,194.79,199.01,1609.24,318739.72
2018-03-06 08-PM,LTCUSD,196.03,196.43,193.01,194.79,3889.0,756741.81
2018-03-06 07-PM,LTCUSD,197.09,197.09,191.2,196.03,6633.54,1286371.55
2018-03-06 06-PM,LTCUSD,198.4,199.46,196.26,197.09,3576.55,708320.39
2018-03-06 05-PM,LTCUSD,201,201.3,197.21,198.4,1476.76,293769.33
2018-03-06 04-PM,LTCUSD,202.82,202.87,200.48,201,1210.34,244032.39
2018-03-06 03-PM,LTCUSD,202.89,203.15,200.81,202.82,1612.11,326183.77
2018-03-06 02-PM,LTCUSD,197.43,203.32,196.85,202.89,2899.23,580473.94
2018-03-06 01-PM,LTCUSD,201.72,201.9,196.43,197.43,3143.5,626481.75
2018-03-06 12-PM,LTCUSD,203.27,203.93,201.01,201.72,1348.79,272687.4
2018-03-06 11-AM,LTCUSD,202.94,203.28,201.25,203.27,1516.94,306593.31
2018-03-06 10-AM,LTCUSD,207.22,207.22,201.33,202.94,3624.87,738579.96
2018-03-06 09-AM,LTCUSD,206.7,207.72,206.22,207.22,193.59,40094.88
2018-03-06 08-AM,LTCUSD,206.99,207.3,206.05,206.7,1173.72,242478.14
2018-03-06 07-AM,LTCUSD,208.44,208.67,206.5,206.99,343.27,71175.78
2018-03-06 06-AM,LTCUSD,208.47,209.29,208.4,208.44,330.98,69150.66
2018-03-06 05-AM,LTCUSD,208.5,209.03,207.82,208.47,435.75,90798.34
2018-03-06 04-AM,LTCUSD,207.53,209.41,207.53,208.5,1754.33,366390.52
2018-03-06 03-AM,LTCUSD,208.2,208.2,206.69,207.53,423.69,87920.23
2018-03-06 02-AM,LTCUSD,207.44,208.2,207,208.2,343.36,71314.3
2018-03-06 01-AM,LTCUSD,207.87,208,205.68,207.44,3613.66,746566.14
2018-03-06 12-AM,LTCUSD,210.26,210.26,206.82,207.87,2574.39,536052.75
2018-03-05 11-PM,LTCUSD,211.37,211.53,210.26,210.26,508.64,107079.63
2018-03-05 10-PM,LTCUSD,211.73,211.8,210.61,211.37,242.68,51280.89
2018-03-05 09-PM,LTCUSD,210.97,211.75,210.24,211.73,499.84,105617.48
2018-03-05 08-PM,LTCUSD,211.41,212.22,210.12,210.97,1329.91,280974.07
2018-03-05 07-PM,LTCUSD,213.3,213.44,211.41,211.41,855.82,181729.2
2018-03-05 06-PM,LTCUSD,211.44,214,210.39,213.3,1465.15,310703.72
2018-03-05 05-PM,LTCUSD,211.5,211.91,210.93,211.44,301.79,63766.92
2018-03-05 04-PM,LTCUSD,212.6,212.94,211.15,211.5,877.34,186105.27
2018-03-05 03-PM,LTCUSD,212.5,213.06,212.01,212.6,466.07,99036.39
2018-03-05 02-PM,LTCUSD,213.8,214.77,212.18,212.5,1474.39,315143.85
2018-03-05 01-PM,LTCUSD,213.68,213.8,212.68,213.8,743.0,158478.0
2018-03-05 12-PM,LTCUSD,214.25,215.49,213,213.68,2456.63,526059.71
2018-03-05 11-AM,LTCUSD,214.1,216.31,214.02,214.25,3765.99,810524.57
2018-03-05 10-AM,LTCUSD,211.14,214.1,209.76,214.1,4184.56,887490.52
2018-03-05 09-AM,LTCUSD,209.49,211.57,208.92,211.14,1088.15,228301.26
2018-03-05 08-AM,LTCUSD,210.21,210.84,208.57,209.49,1293.52,271160.21
2018-03-05 07-AM,LTCUSD,210.91,211.52,210.21,210.21,971.92,204786.73
2018-03-05 06-AM,LTCUSD,210.81,211.61,210.46,210.91,521.14,110010.8
2018-03-05 05-AM,LTCUSD,211.28,211.67,210.23,210.81,996.77,209877.97
2018-03-05 04-AM,LTCUSD,212.59,212.7,209.98,211.28,1807.47,382981.96
2018-03-05 03-AM,LTCUSD,212.2,213.21,211.2,212.59,2893.9,614083.8
2018-03-05 02-AM,LTCUSD,211.07,212.6,210.45,212.2,977.9,207336.31
2018-03-05 01-AM,LTCUSD,211.58,211.9,210.57,211.07,783.86,165370.58
2018-03-05 12-AM,LTCUSD,212.8,213.63,210.93,211.58,775.73,164501.14
2018-03-04 11-PM,LTCUSD,210.36,214.65,210.35,212.8,3498.59,742576.67
2018-03-04 10-PM,LTCUSD,212.11,212.15,209.61,210.36,2988.9,629727.94
2018-03-04 09-PM,LTCUSD,211.33,212.36,210.67,212.11,1031.21,217958.05
2018-03-04 08-PM,LTCUSD,210.66,212.39,210.66,211.33,2149.19,454612.72
2018-03-04 07-PM,LTCUSD,210.59,211.41,209.72,210.66,2421.51,509892.83
2018-03-04 06-PM,LTCUSD,208.11,211,207.14,210.59,4172.5,872623.43
2018-03-04 05-PM,LTCUSD,208.57,209.08,206.14,208.11,1094.15,227547.9
2018-03-04 04-PM,LTCUSD,208.15,209.18,208.15,208.57,435.66,90931.55
2018-03-04 03-PM,LTCUSD,209.1,209.1,207.32,208.15,353.56,73576.29
2018-03-04 02-PM,LTCUSD,209.14,210,208.56,209.1,804.49,168506.4
2018-03-04 01-PM,LTCUSD,209.5,210.26,208.7,209.14,307.87,64543.42
2018-03-04 12-PM,LTCUSD,208.68,209.83,208.6,209.5,448.71,93673.14
2018-03-04 11-AM,LTCUSD,208.93,209.37,207.76,208.68,1149.75,240071.31
